Tribal class,26,27,Destroyer,"1,883 tons (2,559 full complement) BRT ",377 feet (oa) ,"190 (Cossack, Afridi, Somali and Tartar 219) men ","8 4.7"" guns (4x2) 4 x 2pdr AA (1x4) 8 0.5"" MG AA (4x2) 4 21"" torpedo tubes (1x4) ",36 knots,"Geared turbines, 2 shafts ",44000 HP ,"The Tribal class destroyers trace their roots to 1934 when the British Admiralty evaluated the threat posed by much larger destroyers being built in Japan, Italy and even Germany than the Royal Navy had. These ships were all around 2000 tons while the British destroyers were closer to 1300 tons. Estimated cost per ship was 340,000 pounds excluding Admiralty supplied armaments putting the average cost around 520,000. The Tribal was finally accepted after no less than 8 design proposals. The design chosen was a powerful yet beautiful looking ship. The first 7 Tribals were ordered on 10 March, 1936 with the latter group of 9 Tribals being ordered on 9 June. The ships were formed into the 1st and 2nd Tribal destroyer flotillas. By 1939 the Royal Navy had learned that while the Tribals were larger they were just normal destroyers. Thus the flotillas were renamed 4th and 6th destroyer flotillas. 8 ships were built for the Canadian Navy and the first of those came into service in 1943. (4 more Tribals were being built for the RCN but they would not see service until after the war). Australia built 3 Tribal class destroyers, which were commissioned into the RAN. The Tribals were not really U-boat hunters but rather fleet destroyers. During the second half of 1940 the Royal Navy ships (except the war losses HMS Gurkha and HMS Afridi) had one twin 4.7"" gun turret replaced by a twin 4"" AA gun turret. The Canadian and Australian ships carried this arrangement upon completion. The original Tribals The original Tribals were a batch of twelve ships built for the Royal Navy in 1905 - 1908 and were the forerunners of the Modern Class of Royal Navy destroyers. Roughly of 1,000 tons displacement. Armament was in two variants; the first five had a main armament of five 12 pounders, the remaining seven carried two 4 inch guns. Names were after African tribes. These ships became known as the ""original 33 knotters."" They saw action in WWI in the Channel and the North Sea. A Tribal class destroyer on display Today there is only 1 ship of this class left in the world. Thankfully she is being preserved as a museum ship in Canada. Her name is HMCS Haida and she has her own fine website (offsite link). Pennant numbers were changed from F .. to G .. in late 1940 (in or around December).  ",http://uboat.net/allies/warships/class/1.html
Black Swan class,8,8,Sloop,1250 BRT ,283 feet ,180 men ,"6 4"" AA guns (3x2). 4 2pdr AA (1x4). 4 0.5"" AA (1x4) ",19.25 knots,"Geared turbines, 2 shafts ",3600 SHP ,"This grouping includes all sloops capable of outrunning surfaced type VII and IX U-boats. Although production was limited by competing priorities for available turbine machinery, this design was favoured by experienced anti-submarine officers. The large number of U-boat kills credited to this class reflect the leadership of F J ""Johnny"" Walker who commanded the 36th Escort Group from Stork and later the 2nd Escort Group from Starling. ",http://uboat.net/allies/warships/class/2.html
Banff class,10,10,Sloop,1700 BRT , , ,"5in guns 8 0,5"" machine guns (4x2) Depth charge throwers ",16 knots,,,"Following the exchange of fifty old destroyers, ten United States Coast Guard cutters were loaned to the Royal Navy and reclassified as escort sloops. These 1700 ton sloops built between 1927 and 1931 were among the largest convoy escorts. These 16 knot sloops were slightly slower than surfaced U-boats, but their 5""/51 guns might persuade an evading U-boat to submerge. HMS Hartland and Walney were expended in a commando operation at Oran during the 8 November 1942 invasion of North Africa. Surviving ships were returned to the United States Coast Guard in 1946.  ",http://uboat.net/allies/warships/class/3.html
Castle class,53,107,Corvette,1010 BRT ,252 feet (oa) ,120 men ,"1 4"" gun 10 20mm (2x2, 6x1) Squid ",16.5 knots,"Reciprocating (4 cyl. V.T.E.), 1 shaft ",2880 HP ,"After U-boats demonstrated mid-Atlantic attack capability from French bases, construction of Flower class corvettes designed for coastal escort was discontinued in favour of River class frigates better suited for ocean escort work. Shipyards too small to build 300 foot frigates began producing an improved 250 foot corvette called the Castle class. ",http://uboat.net/allies/warships/class/4.html
River class,151,193,Frigate,1370 BRT ,301 feet ,140 men ,"Original design; 2 x 4inch guns (2x1) 10 x 20m guns (2x2,6x1) ",20 knots,"2 shaft Reciprocating (4 cyl. V.T.E.) HMS Cam, HMS Chelmer, HMS Ettrick, HMS Helmsdale and HMS Tweed 2 shaft Geared Turbines ","I.H.P. 5.500 HMS Cam, HMS Chelmer, HMS Ettrick, HMS Helmsdale and HMS Tweed S.H.P. 6.500 ","Commonwealth frigates were specifically designed as anti-submarine escorts for trans-Atlantic convoys. River class frigates offered the size, speed, and endurance of escort sloops using inexpensive reciprocating machinery of corvettes. River class were designed for North Atlantic weather conditions and included the most effective anti-submarine sensors and weapons. HMS Rother and HMS Spey were launched in late 1941, and Canadian and Australian construction continued through 1944. Early River class units were available for the turning point convoy battles of the winter of 1942-43. River class frigates generally replaced the old Town and V&W class destroyers which had been assigned to ocean escort groups. Ten River class frigates were built for the United States in Canada. Two were commissioned in 1942 as USS Asheville (PF-1) and USS Natchez (PF-2), they were armed with U.S.N. pattern 3""/50 AA guns. The other eight were released under lend-lease for use by Commonwealth forces.  ",http://uboat.net/allies/warships/class/5.html
Loch class,28,90,Frigate,1435 BRT ,93.8m ,114 men ,"1 x 4inch gun 1 x quad 2pdr 6 x 20m guns (2x2,2x1) 2 Squid Depth charge throwers  ",20 knots,"2 shaft Reciprocating (4 cyl, V.T.E.) (Loch Arkaig and Loch Tralaig 2 shaft Geared Turbines) ",HP 5.500 (Loch Arkaig and Loch Tralaig HP 6.500) ,Loch class frigates were an improved River class using prefabricated modular construction techniques similar to those employed for U-boat construction at about the same time. Loch Arkaig and Loch Tralaig were turbine engined. ,http://uboat.net/allies/warships/class/6.html
Bay class,19,26,Frigate,1580 BRT ,307.25 ft (oa) ,157 men ,4 x 4inch gun (2x2) 4 x 40mm guns (2x2) 4 x 20m guns (2x2) 2 x Hedgehog ,20 knots,2 shaft reciprocating (4 cyl. V.T.E.) ,I.H.P. 5.500 ,"Shipping in the English Channel became a priority U-boat target following the Normandy invasion. Invasion shipping escorts were vulnerable to aircraft attack. Loch class frigates under construction substituted anti-aircraft guns for some of their ASW weapons, and were re-designated Bay class. ",http://uboat.net/allies/warships/class/7.html
Colony class,21,21,Frigate,1308 BRT , ,120 men ,3 x 1 3inch gun 2 twin 40mm 4 x 20m guns Hedgehog Depth charge throwers ,18 knots,,,Colony class frigates were mass produced by American shipyards during the last half of 1943. Their design was a modification of the British RIVER class to use weapons and reciprocating machinery available from US manufacturers. 27 were loaned to the Soviet Union during the summer of 1945 and returned in 1949. The 21 listed below (formerly PF 72-92) were loaned to England and returned in 1946. Those retained by the United States were manned by Coast Guard personnel. All ships of this class survived the war.  ,http://uboat.net/allies/warships/class/8.html
A class,11,11,Destroyer,1350 BRT ,323 feet (oa) ,138 men ,"4 4.7"" guns (4x1) 2 2pdr AA (2x1) 8 21"" torpedo tubes (2x4) ",35 knots,"Geared turbines, 2 shafts ",34000 HP ,"The specifications as listed above are for the 'normal' A-class destroyers. HMS Codrington was fitted as flotilla leader and had some different specifications; Displacement: 1540 BRT Complement: 185 men Lenght: 343 feet (oa) Armament: 5 4.7"" guns (5x1) 2 2pdr AA (2x1) 8 21"" torpedo tubes (2x4) Power: 39000 HP Unfortunately Codrington had a large turning circle, much greater than the rest of the class. The result was that there were some difficulties when manoeuvring her flotilla. During the conflict the surviving ships underwent changes such as a 3"" AA gun in lieu of the after bank of torpedo tubes and 20mm Oerlikon AA guns in the bridge wings. The Canadian ships HMCS Saguenay and HMCS Skeena were a slightly modified design with heavier plating around the bow so they could operate in waters where there was a risk of Ice, they were not fitted or intended to be icebreakers. ",http://uboat.net/allies/warships/class/9.html
B class,9,10,Destroyer,1360 BRT ,323 feet (oa) ,138 men ,"4 4.7"" guns (4x1) 2 2pdr AA (2x1) 8 21"" torpedo tubes (2x4) ",35.25 knots,"Geared turbines, 2 shafts ",34000 HP ,"The specifications as listed above are for the 'normal' B-class destroyers. HMS Keith was fitted as flotilla leader and had some different specifications; Displacement: 1400 BRT Complement: 175 men. HMS Keith was a smaller leader, she did not have an extra 4.7"" gun as did HMS Codrington the leader of the A-class destroyers. The regular B-class destroyers were repeat A-class destroyers with only minor modifications.  ",http://uboat.net/allies/warships/class/10.html
